,sku,units_sold,unit_price,title,average_discount
0,1032-9816-58976028-47456,1,14.95,"Fortnite ""Chug Jug"" Coffee Mug (15 oz.)",0.0
1,10449366,1,19.95,Black Carbon Fiber,0.95
2,11082974,4,19.95,Mental Graffiti,0.0
3,11094071,2,19.95,Nightmare,0.95
4,11094099,1,19.95,Colorskull,0.95
5,11094165,5,19.95,American Warrior,0.0
6,11120838,2,19.95,Purple Supernova,0.0
7,11120958,5,19.95,There Will Be Blood,0.0
8,11120994,1,19.95,Wet Paint,0.0
9,11267510,2,19.95,Gold Carbon Fiber,0.95
10,11540447,1,19.95,Pixels,0.95
11,11724237,3,19.95,Show Me The Money,0.0
12,11774758,1,19.95,White Carbon Fiber,0.0
13,11828338,2,19.95,Color Skulls,0.95
14,11828343,2,19.95,There Will Be Blood,0.95
15,12390093,2,19.95,Globetrotter,0.0
16,12391951,4,19.95,There Will Be Blood,0.0
17,12392485,1,19.95,Three Dee,0.95
18,12452734,1,19.95,Arctic Camo,0.0
19,12452742,2,19.95,Mud Camo,0.0
20,12496853-china,2,19.95,American Warrior,0.0
21,12573418,1,19.95,Wood Grain,0.0
22,12624789,1,19.95,Blue Flames,0.95
23,12920588,3,19.95,Patriot,0.0
24,12920616,4,19.95,Viral Nebula,0.0
25,12920617,4,19.95,Bay Blue Camo,0.0
26,12920622,3,19.95,Event Horizon,0.0
27,12922911-china,3,19.95,Alice in the Abstract,0.0
28,14544703-red,2,19.95,Carbon Fiber (7 Colors),0.0
29,15679998,1,19.95,Punk's Not Dead,0.95
30,15680175,1,19.95,The All-Seeing Eye,0.0
31,15848108,1,19.95,Color Skulls,0.0
32,16135726-china,1,19.95,Fire In Bloom,0.0
33,16232539-china,2,19.95,White Marble,0.0
34,16232578-china,1,19.95,Into the Sea,0.0
35,18720025,4,19.95,Marble Gray,0.0
36,18720138-china,4,19.95,Art in Motion,0.0
37,20851753,1,19.95,White Marble,0.95
38,20851875,1,19.95,Art In Motion,0.0
39,20856423,1,19.95,Toxic,0.0
40,20856473,2,19.95,Art in Motion,0.0
41,20862146,1,19.95,Crime Scene,0.95
42,20862165,8,19.95,Art in Motion,0.95
43,20862168,6,19.95,Space Time,0.0
44,20862179,1,19.95,Purple Paradigm,0.0
45,20888786,2,19.95,Art in Motion,0.0
46,20888827,4,19.95,Wildstyle Graffiti,0.0
47,20888909,2,19.95,Looking Glass,0.95
48,3701427-black,461,10.003227272727273,Accuracy Thumb Sticks for PS4 and Xbox One Controllers,0.05
49,3701427-blue,85,10.02142857142857,Accuracy Thumb Sticks for PS4 and Xbox One Controllers,0.09
50,3701427-green,88,10.007471264367815,Accuracy Thumb Sticks for PS4 and Xbox One Controllers,0.95
51,3701427-orange,34,9.95,Accuracy Thumb Sticks for PS4 and Xbox One Controllers,0.95
52,3701427-red,85,10.104761904761904,Accuracy Thumb Sticks for PS4 and Xbox One Controllers,0.09
53,3701427-white,81,10.00525,Accuracy Thumb Sticks for PS4 and Xbox One Controllers,0.05
54,3701427-yellow,31,10.079032258064515,Accuracy Thumb Sticks for PS4 and Xbox One Controllers,0.32
55,541-4740-58975585-23088,2,39.95,"""Loot Llama"" Fortnite Hoodie",0.0
56,541-4740-58983687-23088,1,35.95,"God of War ""Leviathan Axe"" Hoodie",0.0
57,541-4740-58986460-23087,1,35.95,"Half-Life Black Mesa ""Personnel"" Hoodie",0.95
58,541-4741-58985249-23111,1,35.95,"Fallout 76 ""2076"" Hoodie",0.0
59,541-4745-58982082-23023,1,35.95,"Fortnite ""Victory Royale"" Hoodie",0.95
60,541-4748-58985249-23073,1,35.95,"Fallout 76 ""2076"" Hoodie",0.0
61,6432027,8,19.95,The Great Beyond,0.0
62,7946990,1,19.95,Patriot,0.95
63,7946991,1,19.95,Red or Blue Pill,0.0
64,8623867,2,19.95,Black Wood,0.0
65,8624060,1,19.95,Fire in Bloom,0.0
66,8624534,1,19.95,8-Bit NES Nostalgia,0.0
67,8624564,3,19.95,Fire In Bloom,0.0
68,8730079,2,19.95,Star Burst,0.0
69,952-12784-58976614-57576,1,23.95,"""Loot Llama"" Fortnite T-Shirt",0.0
70,952-9389-58976614-45559,1,23.95,"""Loot Llama"" Fortnite T-Shirt",0.0
71,952-9390-58983295-45474,1,23.95,"Fortnite ""Keep Calm And Chug Jug"" T-Shirt",0.95
72,952-9390-58983295-45475,1,23.95,"Fortnite ""Keep Calm And Chug Jug"" T-Shirt",0.0
73,952-9390-58983421-45475,1,23.95,"God of War ""Leviathan Axe"" T-Shirt",0.95
74,952-9406-58985063-45614,1,23.95,"Half-Life ""Black Mesa Research Facility"" T-Shirt",0.0
75,Concave-Black-PS4Xbox,913,5.613198959687907,ProTouch® Concave Thumbsticks - Black,0.3
76,Concave-Black-SwitchPro,24,5.95,ProTouch® Concave Thumbsticks - Black,0.62
77,Concave-Orange-8,4,5.95,ProTouch Concave Low-Rise Thumbsticks - Orange,0.0
78,Concave-PS4Xbox-Blue,211,5.577450980392157,ProTouch® Concave Thumbsticks - Blue,0.29
79,Concave-PS4Xbox-CarbonFiber,435,5.963623978201635,ProTouch® Concave Thumbsticks - Carbon Fiber,0.1
80,Concave-PS4Xbox-Clear,137,5.786065573770491,ProTouch® Concave Thumbsticks - Clear,0.17
81,Concave-PS4Xbox-Gray,136,5.8555118110236215,ProTouch® Concave Thumbsticks - Gray,0.47
82,Concave-PS4Xbox-Green,315,5.667171717171717,ProTouch® Concave Thumbsticks - Green,0.95
83,Concave-PS4Xbox-Orange,145,5.676618705035971,ProTouch® Concave Thumbsticks - Orange,0.07
84,Concave-PS4Xbox-Pink,109,5.704901960784314,ProTouch® Concave Thumbsticks - Pink,0.29
